City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
souillac,-20.5167,57.5167,78.37,83,75,13.8,MU,1634462497
haines junction,59.2286,-135.4441,33.55,69,1,9.22,US,1634462498
fortuna,40.5982,-124.1573,47.32,93,1,0,US,1634462498
nha trang,27.9145,86.719,42.69,78,85,5.08,NP,1634462499
namikupa,-10.8333,39.6,90.39,35,17,11.95,TZ,1634462499
punta arenas,8.9897,125.34,82.36,82,82,0.6,PH,1634462407
letka,59.6011,49.4232,46.47,68,4,12.19,RU,1634462499
kapaa,22.0752,-159.319,74.19,82,75,14.97,US,1634462409
zambezi,-13.5432,23.1047,92.98,27,3,8.14,ZM,1634462500
upernavik,72.7868,-56.1549,21.42,57,86,6.55,GL,1634462501
khatanga,71.9667,102.5,22.03,90,100,8.39,RU,1634462321
ponta delgada,38.7333,-28.2667,65.08,78,100,16.62,PT,1634462501
cascais,38.6979,-9.4215,69.15,85,75,1.01,PT,1634462502
thompson,55.7435,-97.8558,24.96,100,1,2.3,CA,1634462502
oistins,13.0667,-59.5333,75.29,94,40,5.75,BB,1634462503
srednekolymsk,67.45,153.6833,1.44,99,82,4.29,RU,1634462503
cherskiy,68.75,161.3,-12.28,100,90,4.56,RU,1634462504
chicama,-7.8447,-79.1469,62.82,90,100,4.45,PE,1634462505
bredasdorp,-34.5322,20.0403,60.28,64,91,13.29,ZA,1634462400
ilulissat,69.2167,-51.1,19.42,35,2,8.05,GL,1634462506
pacific grove,38.482,-90.7415,47.77,88,0,4.18,US,1634462383
kruisfontein,-34.0033,24.7314,51.89,84,100,17.2,ZA,1634462506
kodiak,57.79,-152.4072,38.41,94,100,24.27,US,1634462507
palmer,42.1584,-72.3287,54.39,79,1,9.22,US,1634462507
hobart,-42.8794,147.3294,55.26,67,40,0,AU,1634462445
chokurdakh,70.6333,147.9167,-7.64,100,95,2.62,RU,1634462390
mount gambier,53.6597,-1.8537,53.49,59,100,5.01,GB,1634462508
troyes,48.3333,4.0833,50.07,81,0,2.3,FR,1634462509
salinas,36.6777,-121.6555,64.38,51,1,4.61,US,1634462509
yar-sale,66.8333,70.8333,40.1,77,89,14.09,RU,1634462509
billings,45.7833,-108.5007,52.5,66,1,10.36,US,1634462358
muli,2.9167,73.5667,83.44,78,79,19.15,MV,1634462481
nhulunbuy,-12.2333,136.7667,84.81,74,34,6.91,AU,1634462511
saint-philippe,-21.3585,55.7679,81.95,80,30,14.94,RE,1634462405
bluff,-46.6,168.3333,53.73,84,100,5.53,NZ,1634462511
staunton,38.1496,-79.0717,50.72,46,90,3.44,US,1634462506
kahului,20.8947,-156.47,75.85,77,1,12.66,US,1634462512
albany,42.6001,-73.9662,52.81,89,8,1.99,US,1634462501
van,38.4924,43.3831,63.75,45,20,6.91,TR,1634462513
hilo,19.7297,-155.09,70.79,84,40,5.75,US,1634462407
morant bay,17.9,-76.4333,82.08,81,100,2.35,JM,1634462513
pevek,69.7008,170.3133,12.56,87,94,2.26,RU,1634462393
codrington,-38.2667,141.9667,50.86,82,86,7.36,AU,1634462514
boralday,43.3578,76.8594,62.46,31,0,8.95,KZ,1634462515
vaini,-21.2,-175.2,73.56,88,90,10.36,TO,1634462515
tuktoyaktuk,69.4541,-133.0374,26.15,83,95,6.8,CA,1634462516
port elizabeth,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462516
aasiaat,68.7098,-52.8699,14.45,64,5,17.22,GL,1634462517
saskylakh,71.9167,114.0833,12.92,90,100,8.88,RU,1634462517
norman wells,35.2226,-97.4395,54.97,81,1,4.61,US,1634462436
cape town,-36.413,-71.9028,42.22,89,0,9.78,CL,1634462389
salalah,17.0151,54.0924,86.09,70,20,14.97,OM,1634462518
sokoto,13.0609,5.239,83.05,46,100,14.99,NG,1634462518
sioux lookout,42.7333,-96.2336,47.97,93,1,0,US,1634462519
lugovoy,42.9472,72.7644,63.52,28,1,8.81,KZ,1634462519
porto empedocle,41.1496,-8.611,65.71,95,90,3,PT,1634462500
tasiilaq,65.6145,-37.6368,28.56,62,81,6.91,GL,1634462520
maceio,-9.6658,-35.7353,76.44,100,40,0,BR,1634462521
canoinhas,-26.1772,-50.39,56.61,97,100,3.85,BR,1634462521
hithadhoo,-0.6,73.0833,83.16,79,53,17.85,MV,1634462522
airai,-8.9266,125.4092,67.5,81,96,2.51,TL,1634462383
port blair,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462516
yellowknife,62.456,-114.3525,33.42,99,90,5.75,CA,1634462350
ucluelet,48.9329,-125.5528,52.09,94,100,1.01,CA,1634462351
avarua,-21.2078,-159.775,77.05,83,75,4.61,CK,1634462523
laguna,38.421,-121.4238,66.02,51,1,4.61,US,1634462523
asau,46.4333,26.4,56.39,61,97,1.41,RO,1634462524
maroantsetra,-15.4333,49.7333,80.47,57,21,10.69,MG,1634462524
natal,-5.795,-35.2094,75.42,100,40,5.75,BR,1634462253
verkhoyansk,67.5447,133.385,4.08,98,45,1.25,RU,1634462525
bunia,1.5667,30.25,75.69,69,54,1.43,CD,1634462525
verkhnyaya inta,60.9844,40.2072,38.21,86,91,11.81,RU,1634462526
jumla,29.2747,82.1838,69.26,51,50,6.64,NP,1634462526
bonavista,48.6499,-53.1147,42.12,89,100,21.5,CA,1634462527
tuatapere,-46.1333,167.6833,50.63,91,100,3.87,NZ,1634462404
clyde river,41.3042,-82.9752,52.12,77,27,11.74,US,1634462527
new norfolk,6.6518,-10.5932,81.63,82,77,1.25,LR,1634462528
sao filipe,20.5113,76.2129,70.7,98,100,8.3,IN,1634462528
guane,22.2025,-84.0875,73.42,92,1,3.76,CU,1634462529
harper,4.375,-7.7169,80.64,80,39,3.69,LR,1634462529
ngunguru,-35.6167,174.5,62.17,93,100,19.73,NZ,1634462529
ahipara,-35.1667,173.1667,61.65,95,100,14.12,NZ,1634462530
meulaboh,4.1363,96.1285,84.87,66,94,9.93,ID,1634462531
butaritari,3.0707,172.7902,81.61,73,9,8.63,KI,1634462531
port lincoln,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462389
carnarvon,-24.8667,113.6333,71.67,60,40,14.97,AU,1634462399
san patricio,13.3034,-4.8956,88.3,39,27,6.49,ML,1634462343
ilinskiy,55.619,38.1182,48.42,71,0,11.18,RU,1634462532
georgetown,5.4112,100.3354,85.95,83,40,1.01,MY,1634462533
abu kamal,24.6,72.7,74.08,37,100,0.85,IN,1634462375
dikson,73.5069,80.5464,31.73,99,100,12.01,RU,1634462533
kanniyakumari,8.0833,77.5667,82.33,79,100,24.7,IN,1634462534
faanui,-16.4833,-151.75,80.44,73,1,17.67,PF,1634462384
deputatskiy,69.3,139.9,-11.36,100,92,2.84,RU,1634462534
tiksi,71.6872,128.8694,11.17,88,100,7.27,RU,1634462535
nikolskoye,59.7035,30.7861,44.87,59,73,12.55,RU,1634462535
manhush,47.0558,37.3107,55.53,53,100,6.26,UA,1634462536
rantepao,-2.9701,119.8978,75.96,87,54,1.72,ID,1634462536
miandrivazo,-19.5167,45.4667,94.5,24,0,2.17,MG,1634462537
puerto ayora,36.5939,-6.233,69.62,74,0,4.61,ES,1634462388
cap malheureux,49.2718,-1.2104,56.86,71,100,7.34,FR,1634462537
khromtau,50.2503,58.4347,60.69,25,47,12.17,KZ,1634462538
altay,47.8667,88.1167,51.35,39,1,1.36,CN,1634462539
mar del plata,43.4002,-4.0094,66.25,85,40,0,ES,1634462388
bograd,54.2344,90.8328,42.55,62,14,4.88,RU,1634462539
guerrero negro,17.6667,-100,64.67,68,76,2.19,MX,1634462540
san quintin,13.3034,-4.8956,88.3,39,27,6.49,ML,1634462302
bukachacha,52.9833,116.9167,25.65,68,37,2.42,RU,1634462540
east london,65,-15,22.75,83,100,1.92,IS,1634462392
castro,-24.7911,-50.0119,55.81,98,100,7.23,BR,1634462541
marsh harbour,53.6512,-1.8078,54.59,60,100,5.01,GB,1634462541
port macquarie,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462389
huarmey,-10.0681,-78.1522,63.48,89,100,7.7,PE,1634462542
malakal,9.5334,31.6605,92.34,45,45,2.53,SS,1634462543
muros,42.7762,-9.0603,66.85,92,100,7.94,ES,1634462543
vrangel,42.7297,133.0839,39.13,34,0,8.08,RU,1634462544
menongue,-14.6585,17.691,89.6,9,4,9.24,AO,1634462544
qaanaaq,77.484,-69.3632,23.38,93,100,9.46,GL,1634462382
rio bueno,38.3,21.7833,66.6,79,59,3.36,GR,1634462394
tura,25.5198,90.2201,85.62,70,77,1.28,IN,1634462545
mantua,45.1667,10.7833,64.27,66,0,1.01,IT,1634462546
roald,62.5833,6.1333,43.09,75,75,6.91,NO,1634462546
baymak,52.5933,58.3225,55.78,36,100,11.68,RU,1634462547
severo-kurilsk,50.6789,156.125,39.07,97,100,34.36,RU,1634462401
tual,-5.6667,132.75,84.43,69,96,1.39,ID,1634462547
barcelos,41.5388,-8.6151,66.34,83,100,3.51,PT,1634462548
ponta do sol,38.7333,-28.2667,65.08,78,100,16.62,PT,1634462548
mount pleasant,53.6597,-1.8537,53.49,59,100,5.01,GB,1634462549
irati,-25.4672,-50.6511,57.6,98,100,2.66,BR,1634462549
maniitsoq,65.4167,-52.9,33.46,42,0,4.99,GL,1634462550
bambous virieux,-20.2567,57.4061,77.14,71,47,12.97,MU,1634462550
bud,39.447,-86.1758,44.55,91,0,7.2,US,1634462551
carupano,10.6678,-63.2585,77.74,90,60,5.84,VE,1634462551
paso de los toros,-14.4333,-67.5167,67.53,83,100,1.83,BO,1634462552
taunggyi,20.7833,97.0333,69.71,77,100,3.98,MM,1634462552
griffith,41.5284,-87.4237,46.89,71,40,4.61,US,1634462553
yegorlykskaya,46.5656,40.6562,68.76,38,95,0.89,RU,1634462553
mortka,59.3322,66.0214,46.35,60,83,9.89,RU,1634462554
klaksvik,62.2266,-6.589,40.12,65,100,8.86,FO,1634462554
eskil,38.4017,33.4131,62.02,50,31,6.2,TR,1634462555
mogadishu,2.0371,45.3438,82.15,67,10,11.86,SO,1634462396
tala,30.6803,30.9429,84.51,29,57,6.93,EG,1634462556
petropavlovsk-kamchatskiy,53.0452,158.6483,34.39,100,90,11.18,RU,1634462556
geraldton,-28.7667,114.6,70.21,46,2,9.22,AU,1634462557
ugoofaaru,5.6667,73,81.52,80,100,22.68,MV,1634462482
chuy,-33.6971,-53.4616,44.67,78,0,2.55,UY,1634462558
gornopravdinsk,60.05,69.9,44.69,82,100,7.9,RU,1634462558
arraial do cabo,-22.8362,-46.646,66.88,92,100,5.08,BR,1634462392
itarema,-2.9248,-39.9167,79.25,78,48,14.54,BR,1634462559
santiago,-33.4569,-70.6483,54.86,55,78,2.3,CL,1634462283
mackay,-21.15,149.2,79.68,71,83,12.66,AU,1634462560
soderhamn,61.3037,17.0592,44.04,52,0,15.37,SE,1634462560
novyy urgal,45.0072,38.9819,68.11,72,100,1.01,RU,1634462560
pointe-noire,-4.7761,11.8635,80.29,70,100,5.19,CG,1634462561
kaitangata,-46.2817,169.8464,51.06,86,72,1.32,NZ,1634462561
bereda,43.2686,-7.5406,64.92,86,96,2.21,ES,1634462562
hofn,64.2539,-15.2082,34.66,77,100,13.78,IS,1634462562
puerto colombia,36.5939,-6.233,69.62,74,0,4.61,ES,1634462563
bathsheba,13.2167,-59.5167,75.81,94,40,5.75,BB,1634462564
hambantota,6.1241,81.1185,87.22,64,97,24.9,LK,1634462564
mahebourg,-20.4081,57.7,78.26,83,75,13.8,MU,1634462406
hasaki,35.7333,140.8333,57.6,76,100,26.66,JP,1634462565
wilmington,34.2257,-77.9447,58.86,67,1,9.22,US,1634461964
grindavik,63.8424,-22.4338,34.27,100,90,26.46,IS,1634462565
hay river,52.0705,-3.1274,57.65,90,94,5.32,GB,1634462566
kalmunai,7.4167,81.8167,89.96,53,100,9.33,LK,1634462566
yakeshi,49.2833,120.7333,27.9,77,100,3.85,CN,1634462567
rawson,-43.3002,-65.1023,51.21,49,3,17.47,AR,1634462567
beloha,-25.1667,45.05,96.91,24,0,5.75,MG,1634462568
yeppoon,-23.1333,150.7333,76.78,75,1,12.28,AU,1634462568
kangaatsiaq,68.3065,-53.4641,22.37,57,2,16.69,GL,1634462569
tomohon,1.3346,124.8392,79.74,82,88,2.82,ID,1634462569
antalaha,-14.9003,50.2788,79.97,55,4,9.64,MG,1634462570
monte patria,42.4687,9.3916,63.16,49,0,5.75,FR,1634462570
chabua,27.4825,95.1736,93.15,66,20,10.36,IN,1634462571
husavik,66.0449,-17.3389,30.11,89,100,8.81,IS,1634462571
roma,43.2128,-75.4557,51.94,95,90,9.22,US,1634462571
abu samrah,24.6,72.7,74.08,37,100,0.85,IN,1634462375
springdale,36.1867,-94.1288,47.82,92,1,0,US,1634462572
veraval,20.9,70.3667,87.85,49,98,8.75,IN,1634462573
ust-kulom,61.6864,53.6902,43.93,77,100,9.22,RU,1634462573
manosque,43.8288,5.7869,65.77,60,0,1.74,FR,1634462574
nantucket,41.2835,-70.0995,60.96,90,89,14.85,US,1634462397
pisco,-13.7,-76.2167,60.03,88,99,12.66,PE,1634462574
acapulco,16.8634,-99.8901,78.12,85,68,4.52,MX,1634462321
vacaria,-28.5122,-50.9339,49.71,95,100,5.39,BR,1634462575
mattru,7.6244,-11.8332,78.35,86,99,0.76,SL,1634462576
beringovskiy,63.05,179.3167,31.75,75,100,23.35,RU,1634462576
ketchikan,55.3422,-131.6461,39.67,93,90,3.44,US,1634462577
saldanha,-33.0117,17.9442,62.65,58,29,12.62,ZA,1634462400
dehui,44.5333,125.7,44.91,37,9,8.39,CN,1634462578
lebu,-37.6167,-73.65,47.41,84,11,11.14,CL,1634462578
sechura,-5.5569,-80.8222,65.03,83,100,10.67,PE,1634462579
polyarnyy,69.1989,33.4478,36.07,77,38,7.78,RU,1634462579
taoudenni,22.6783,-3.9836,88.59,14,92,14.09,ML,1634462580
andi,42.7836,46.2617,62.06,45,0,3.24,RU,1634462581
mamou,10.5,-12,73.56,82,66,0.54,GN,1634462581
cordele,31.9635,-83.7824,53.69,76,1,0,US,1634462481
madras,13.0878,80.2785,93.18,62,75,6.91,IN,1634462431
fajardo,18.3258,-65.6524,80.51,100,1,0,PR,1634462582
tahoua,14.8888,5.2692,89.58,25,98,13.8,NE,1634462583
cabo san lucas,-8.2833,-35.0333,80.53,84,24,7.16,BR,1634462583
mayo,38.8876,-76.5119,55.96,78,1,4,US,1634462584
honiara,-9.4333,159.95,80.31,80,96,0.85,SB,1634462584
marrakesh,31.6315,-8.0083,73.47,43,12,2.3,MA,1634462292
lavrentiya,65.5833,-171,28.49,78,97,25.5,RU,1634462585
teknaf,20.8624,92.3058,81.27,84,100,16.31,BD,1634462586
pitkyaranta,61.5734,31.4792,40.93,68,100,21.23,RU,1634462586
baruun-urt,46.6806,113.2792,41.72,34,15,9.22,MN,1634462587
planadas,3.197,-75.6451,66,96,100,1.59,CO,1634462587
dwarka,22.2394,68.9678,87.3,43,4,9.89,IN,1634462588
daitari,21.1,85.75,74.8,90,100,6.55,IN,1634462588
vao,-22.6667,167.4833,73.27,86,21,7.2,NC,1634462589
sedona,34.8697,-111.761,60.55,40,1,9.22,US,1634462485
ostrovnoy,68.0531,39.5131,36.75,94,95,8.52,RU,1634462589
xuanhua,40.6103,115.0447,48.02,24,0,3.04,CN,1634462590
broome,42.2506,-75.833,49.64,80,1,1.99,US,1634462591
nouadhibou,20.931,-17.0347,80.58,36,5,12.66,MR,1634462591
winneba,5.3511,-0.6231,84.67,77,61,9.69,GH,1634462592
durazno,-33.4131,-56.5006,41.04,88,0,5.97,UY,1634462592
longyearbyen,78.2186,15.6401,22.84,50,75,11.5,SJ,1634462593
mandi bahauddin,31.7167,76.9167,65.48,78,100,7.9,IN,1634462594
pokaran,26.9167,71.9167,95.32,8,0,4.81,IN,1634462594
nalut,30.3333,10.85,73.06,22,26,5.01,LY,1634462594
kuroiso,36.9667,140.05,49.03,78,74,6.31,JP,1634462595
southbridge,42.0751,-72.0334,56.26,96,86,9.91,US,1634462596
aksarka,66.5606,67.7975,39.63,75,100,12.84,RU,1634462596
bengkulu,-3.8004,102.2655,81.3,83,100,3.51,ID,1634462597
rio gallegos,38.3,21.7833,66.6,79,59,3.36,GR,1634462597
bozoum,6.3193,16.3799,81.01,68,95,2.62,CF,1634462598
tilichiki,60.4667,166.1,17.1,70,7,5.41,RU,1634462599
inuvik,68.3499,-133.7218,20.26,93,75,1.14,CA,1634462599
kaduna,10.5222,7.4383,79.03,61,100,4.88,NG,1634462600
dingle,10.9995,122.6711,82.31,85,73,4.61,PH,1634462600
coquimbo,-29.9533,-71.3436,49.73,93,75,4.61,CL,1634462390
rybachiy,48.7073,44.7449,55.26,45,100,5.86,RU,1634462600
vardo,70.3705,31.1107,41.16,92,100,23.38,NO,1634462601
changji,44.0167,87.3167,61.59,27,0,4.47,CN,1634462601
san ignacio,13.3034,-4.8956,88.3,39,27,6.49,ML,1634462302
plettenberg bay,51.2167,7.8833,52.48,64,92,4.09,DE,1634462602
puyang,29.4603,119.8861,56.01,75,100,5.32,CN,1634462602
balao,-2.9167,-79.8167,71.37,89,99,4.9,EC,1634462603
luena,-11.7833,19.9167,87.44,33,68,7,AO,1634462604
oranjemund,-28.55,16.4333,63.64,49,34,19.35,NA,1634462604
kalulushi,-12.8378,28.0919,92.66,24,20,4.34,ZM,1634462605
chichigalpa,12.5776,-87.027,73.71,91,100,2.64,NI,1634462605
luderitz,-26.6481,15.1594,72.36,27,100,20.69,NA,1634462606
caravelas,-17.7125,-39.2481,74.35,86,81,6.08,BR,1634462606
vanderhoof,54.0166,-124.0198,38.77,93,100,2.53,CA,1634462606
kuching,1.55,110.3333,86.22,79,40,5.75,MY,1634462607
mount isa,53.6597,-1.8537,53.49,59,100,5.01,GB,1634462508
caraballeda,10.6112,-66.8522,80.67,74,20,3.44,VE,1634462607
talnakh,69.4865,88.3972,34,100,100,9.71,RU,1634462608
nishihara,26.1842,127.7558,74.48,57,75,23.02,JP,1634462608
anadyr,64.75,177.4833,25.3,86,75,13.42,RU,1634462609
ballina,-28.8667,153.5667,63.79,60,47,9.57,AU,1634462609
de-kastri,51.4667,140.7833,30.43,82,100,25.46,RU,1634462610
gladstone,-23.85,151.25,75.13,64,35,10.36,AU,1634462610
wanning,18.8003,110.3967,77.86,89,71,20.31,CN,1634462611
goroka,-6.0834,145.3873,62.51,98,97,1.63,PG,1634462611
juazeiro,-9.4117,-40.4986,78.98,69,75,10.36,BR,1634462612
nouakchott,18.0858,-15.9785,84.13,30,76,9.19,MR,1634462612
zaranj,30.9667,61.8833,78.76,8,0,15.23,AF,1634462613
bataipora,-22.2953,-53.2711,67.21,95,100,2.66,BR,1634462613
clifton,40.8584,-74.1638,55.04,84,1,8.05,US,1634462614
lannion,48.75,-3.4167,53.67,70,100,7.76,FR,1634462614
kovin,44.7475,20.9761,57.94,59,11,3.53,RS,1634462615
acajutla,13.5928,-89.8275,77.95,76,100,5.91,SV,1634462616
tiarei,-17.5333,-149.3333,75.22,79,38,20.47,PF,1634462616
constitucion,-35.3333,-72.4167,48.06,79,0,6.33,CL,1634462616
yulara,-25.2406,130.9889,93.04,10,63,9.22,AU,1634462617
nacala,-14.5428,40.6728,85.75,55,22,12.17,MZ,1634462618
opuwo,-18.0607,13.84,87.93,10,0,12.19,NA,1634462618
escanaba,45.7453,-87.0646,50.31,80,1,8.05,US,1634462619
halden,59.1226,11.3871,45.5,57,10,3.27,NO,1634462619
urumqi,43.801,87.6005,58.15,27,0,4.47,CN,1634462620
tekeli,44.83,78.8239,47.8,67,25,2.42,KZ,1634462620
namatanai,-3.6667,152.4333,81.7,76,31,8.43,PG,1634462621
piacabucu,-10.4056,-36.4344,77.22,79,98,9.8,BR,1634462621
karratha,-20.7377,116.8463,80.2,44,67,20.96,AU,1634462622
venado tuerto,22.9333,-101.0833,56.82,89,95,6.15,MX,1634462622
formoso do araguaia,-14.9467,-46.2319,70.54,77,38,3.98,BR,1634462623
druskininkai,54.0167,23.9667,48.65,62,100,9.95,LT,1634462623
nome,64.5011,-165.4064,26.67,69,1,19.57,US,1634462567
abilene,32.4487,-99.7331,52.29,64,1,5.75,US,1634461903
mlonggo,-6.5333,110.7,89.49,63,97,10.8,ID,1634462624
maxixe,-23.8597,35.3472,89.42,55,40,4.61,MZ,1634462624
iranshahr,27.2025,60.6848,93.54,10,0,16.11,IR,1634462625
cotonou,6.3654,2.4183,85.98,79,40,13.8,BJ,1634462475
manta,-0.95,-80.7333,73.18,83,90,6.91,EC,1634462626
tateyama,34.9833,139.8667,60.82,81,100,23.06,JP,1634462626
camopi,3.1655,-52.3158,71.17,100,88,0.72,GF,1634462627
faya,18.3851,42.4509,78.91,13,98,20.42,SA,1634462627
belovo,54.4165,86.2976,48.43,54,84,0.45,RU,1634462628
farafenni,13.5667,-15.6,80.64,76,82,3.38,GM,1634462628
satana,20.5833,74.2,77.05,75,93,5.88,IN,1634462629
bilibino,68.0546,166.4372,-11.94,99,63,4.52,RU,1634462629
makakilo city,21.3524,-158.0865,73.71,67,1,5.75,US,1634462630
natalio,-26.7167,-55.0833,57.51,93,83,2.59,PY,1634462631
bayir,37.2687,28.2167,66.72,56,39,5.55,TR,1634462631
rosarito,32.3333,-117.0333,67.14,60,36,3.2,MX,1634462632
linhares,-19.3911,-40.0722,71.26,93,100,2.42,BR,1634462632
kazar,48.0495,19.8614,51.75,60,17,4.07,HU,1634462633
guiren,33.6697,118.1889,55.2,57,4,2.8,CN,1634462633
langarud,37.197,50.1535,73.38,75,78,4.09,IR,1634462634
bonthe,7.5264,-12.505,81.59,75,75,0.36,SL,1634462635
linxia,35.6003,103.2064,58.96,47,53,3.44,CN,1634462635
ajdabiya,30.7554,20.2263,73,50,0,4.18,LY,1634462636
dandong,40.1292,124.3947,41.23,53,0,6.67,CN,1634462476
manbij,36.5281,37.9549,75.97,36,2,22.39,SY,1634462637
potosi,-19.5836,-65.7531,42.22,27,80,4.12,BO,1634462637
ecija,37.5422,-5.0826,71.31,46,100,4.74,ES,1634462638
baghdad,33.3406,44.4009,89.51,22,0,14.97,IQ,1634462345
dunedin,-45.8742,170.5036,57.79,65,59,1.01,NZ,1634462638
alice springs,27.7523,-98.0697,61.41,79,1,6.91,US,1634462639
hualmay,-11.0964,-77.6139,62.64,89,100,10.74,PE,1634462639
sagana,-0.6667,37.2,86.22,36,20,7.74,KE,1634462640
half moon bay,6.3807,-10.6953,82.29,78,78,0.92,LR,1634462640
dzaoudzi,-12.7887,45.2699,84.09,65,0,11.5,YT,1634462641
krasnoye,49.9145,24.6134,49.35,54,87,6.29,UA,1634462642
delicias,41.6493,-0.9076,62.6,75,75,3.44,ES,1634462642
cagayan de tawi-tawi,6.9747,118.5144,84.56,72,69,7.47,PH,1634462608
kungurtug,50.5994,97.5228,41.2,37,51,0.36,RU,1634462643
obo,5.3998,26.4869,83.37,65,100,3.71,CF,1634462644
abatskoye,56.2875,70.4555,51.53,48,29,11.18,RU,1634462644
shingu,33.7333,135.9833,63.59,68,45,8.03,JP,1634462645
vestmannaeyjar,63.4427,-20.2734,38.39,93,75,41.43,IS,1634462645
aksarayskiy,46.7924,48.0119,69.75,20,55,16.02,RU,1634462646
niamey,13.5137,2.1098,91.69,33,23,18.41,NE,1634462646
kentau,43.5206,68.5094,68.79,12,0,11.92,KZ,1634462447
ust-kan,50.9276,84.761,46.06,64,20,2.44,RU,1634462647
chifeng,42.2683,118.9636,48.83,23,1,7.92,CN,1634462648
khani,41.9563,42.9566,62.17,56,0,5.08,GE,1634462648
mulki,13.1,74.8,81.68,83,90,0,IN,1634462649
maun,-19.9833,23.4167,80.56,12,0,12.66,BW,1634462649
lokosovo,61.1333,74.8167,42.57,89,100,9.55,RU,1634462650
romny,50.751,33.4747,50.97,67,26,5.95,UA,1634462650
uyskoye,54.3775,60.0047,51.51,43,95,9.86,RU,1634462651
ramgarh,23.6333,85.5167,78.85,76,98,12.33,IN,1634462651
hokitika,-42.7167,170.9667,55.71,90,100,7.34,NZ,1634462652
eirunepe,-6.6603,-69.8736,71.64,99,100,0.16,BR,1634462652
arkhara,49.4212,130.0842,28.27,38,97,5.97,RU,1634462653
nanticoke,41.2054,-76.0049,50.47,95,9,4.41,US,1634462530
gat,31.61,34.7642,80.78,20,73,11.81,IL,1634462397
flinders,-34.5833,150.8552,64.2,73,76,5.7,AU,1634462654
young,-32.6833,-57.6333,48.22,88,0,6.55,UY,1634462654
smithers,54.7804,-127.1743,30.52,100,20,2.3,CA,1634462578
takahagi,36.7167,140.7167,53.89,100,100,15.9,JP,1634462655
danshui,22.7984,114.4672,78.03,71,72,12.57,CN,1634462655
vyritsa,59.4078,30.3481,44.47,64,100,12.08,RU,1634462656
tucurui,-3.7661,-49.6725,73.13,95,96,2.44,BR,1634462657
phichit,16.25,100.4167,77.14,96,100,5.46,TH,1634462657
gizo,-8.103,156.8419,83.79,70,89,5.68,SB,1634462657
vostok,46.4856,135.8833,22.06,55,78,8.55,RU,1634462658
illapel,-31.6308,-71.1653,52.18,68,50,2.08,CL,1634462658
athabasca,54.7169,-113.2854,44.42,66,96,4.7,CA,1634462659
beyneu,45.3167,55.2,67.28,23,51,16.31,KZ,1634462659
termiz,37.2242,67.2783,69.89,16,0,2.3,UZ,1634462660
artesia,33.8658,-118.0831,69.33,49,1,0,US,1634462660
sur,22.5667,59.5289,88.34,35,2,9.51,OM,1634462661
grand-santi,4.25,-54.3833,71.51,100,69,1.1,GF,1634462661
phan rang,19.5539,99.7405,81.81,73,97,2.77,TH,1634462662
kenora,49.8167,-94.4337,45.57,65,20,8.05,CA,1634462662
george town,-33.963,22.4617,51.35,93,90,13.8,ZA,1634462662
